company,title,location,link,job_posted,category,source,description
Fraunhofer-Institut für Integrierte Schaltungen IIS,Gruppenleiterin Data Efficient Automated Learning – Forschungsinstitut,"München, München (Kreis)",https://www.adzuna.de/land/ad/4567936703?se=shfyT6DM7hG0aOMNCeDYeg&utm_medium=api&utm_source=16b1dafa&v=97C78275D8093C39C27253023DFC9C9B65BF6B4F,2024-02-14 01:23:12+00:00,"Die Fraunhofer-Gesellschaft betreibt in Deutschland derzeit 76 Institute und Forschungs­einrichtungen und ist die weltweit führende Organisation für anwendungsorientierte Forschung. Rund 30 800 Mitarbeitende erarbeiten das jährliche Forschungsvolumen von 3,0 Milliarden Euro. Die Arbeitsgruppe für Supply Chain Services des Fraunhofer IIS optimiert durch Daten Organisationen, deren Prozesse, Geschäftsmodelle und Strategien. Dafür verbindet sie wirtschaftswissenschaftliche Methoden und technologis…",Beraterstellen,Adzuna
MTU Aero Engines AG,Werkstudent Data Science / Data Engineering (all genders),"München, München (Kreis)",https://www.adzuna.de/details/4540761381?utm_medium=api&utm_source=16b1dafa,2024-01-23 20:29:36+00:00,"UPLIFTYOURFUTURE Wir sind über 11.000. An 18 Standorten weltweit. Jedes dritte Flugzeug fliegt mit unserer Technologie. Immer effizienter, leiser, nachhaltiger. Wir gestalten die Zukunft der Luftfahrt. Was wir noch brauchen? Sie. Unser Team in München sucht Sie: Werkstudent Data Science / Data Engineering (all genders) Bei der Instandhaltung von Flugzeugtriebwerken entstehen eine Vielzahl verschiedenster Daten. Erst wenn diese Informationen aufbereitet, geprüft und zusammengeführt sind, können …",Lehrberufe,Adzuna
Swiss Life AG,Mathematiker (m/w/d) im Aktuariat,"Garching bei München, München (Kreis)",https://www.adzuna.de/land/ad/4564369190?se=shfyT6DM7hG0aOMNCeDYeg&utm_medium=api&utm_source=16b1dafa&v=D5ACCDA9B93C0FA2EBFBDF14B566CC3693476D0E,2024-02-10 01:25:27+00:00,"Du möchtest deine Talente entfalten, deine Stärken beweisen, deine Ideen einbringen? Als ein führender europäischer Anbieter von Finanz- und Vorsorgelösungen unterstützen wir mit Leidenschaft Menschen, finanziell für sich zu sorgen – ein Leben lang. Das Know-how und die Leidenschaft unserer Mitarbeitenden ist dabei die Grundlage unserer Erfolge. Deshalb fördern und unterstützen wir auch dich individuell und bedarfsgerecht sowohl in deiner persönlichen als auch bei deiner beruflichen Entwicklung…",Unknown,Adzuna
Celonis,Intern/WS - Product Data Science,"München, München (Kreis)",https://www.adzuna.de/details/4529177922?utm_medium=api&utm_source=16b1dafa,2024-01-17 10:38:58+00:00,"We're Celonis, the global leader in process mining technology, and we've delivered enormous value to the world's largest and most esteemed companies. To continue to help organizations uncover hidden business value opportunities, reduce carbon emissions, and radically improve customer service, we need you to join us. The Team: As a member of the Engineering organization, the Product Analytics & Data Sciences team provides analytic support and a strategic perspective to the product and engineerin…",Stellen aus Buchhaltung & Finanzwesen,Adzuna
Slalom,Senior Principal Data Science & Artificial Intelligence,"München, München (Kreis)",https://www.adzuna.de/details/4530795674?utm_medium=api&utm_source=16b1dafa,2024-01-18 10:38:14+00:00,"Über uns Slalom ist ein modernes Beratungsunternehmen, das sich auf Strategie, Technologie und IT-Transformation konzentriert. In 46 Märkten auf der ganzen Welt haben unsere Berater:innen die Möglichkeit, nach dem lokalen Ansatz schnell bei unseren Kunden zu sein und vor Ort zu helfen. Slalom wurde 2001 gegründet, hat seinen Hauptsitz in Seattle und ist organisch auf über 13.000 Mitarbeitende gewachsen. Slalom wurde acht Jahre in Folge von Fortune zu einem der 100 besten Arbeitgeber ernannt und…",Unknown,Adzuna
Technische Universität München ,Professor in Empirical Economics and Data Science,"Altstadt-Lehel, München",https://www.adzuna.de/details/4569265605?utm_medium=api&utm_source=16b1dafa,2024-02-14 22:17:59+00:00,"The Technical University of Munich (TUM) invites applications for the position of Professor in "" Empirical Economics and Data Science "" W2 (with tenure track to W3) or W3 Associate/Full Professor; to begin as soon as possible. The professorship is endowed by the Dieter Schwarz Foundation and will be located at the TUM Campus in Heilbronn. Scientific environment professorship will be assigned to the TUM School of Management and affiliated with the Department of Economics & Policy. The scientific…",Unknown,Adzuna
Accenture,(Junior) Data Science Consultant (all genders),"Altstadt-Lehel, München",https://www.adzuna.de/details/4557480559?utm_medium=api&utm_source=16b1dafa,2024-02-04 19:12:00+00:00,"Deine Persönlichkeit und Individualität machen den Unterschied. Bei Strategy & Consulting kombinieren wir unser betriebswirtschaftliches, strategisches, digitales und technologisches Know-how, um Unternehmen auf ein neues Innovations- und Performance-Level zu heben. Arbeite gemeinsam mit unseren Expert:innen aus dem Applied Intelligence Team daran, die datengetriebene Revolution in allen wirtschaftlichen und gesellschaftlichen Bereichen voranzutreiben und die Zukunft der künstlichen Intelligenz…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Ottobrunn, München (Kreis)",https://www.adzuna.de/details/4554362321?utm_medium=api&utm_source=16b1dafa,2024-02-02 12:03:27+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"München, München (Kreis)",https://www.adzuna.de/details/4557900198?utm_medium=api&utm_source=16b1dafa,2024-02-05 11:57:56+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Kirchheim bei München, München (Kreis)",https://www.adzuna.de/details/4556108815?utm_medium=api&utm_source=16b1dafa,2024-02-03 11:59:34+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Haar, München (Kreis)",https://www.adzuna.de/details/4554362307?utm_medium=api&utm_source=16b1dafa,2024-02-02 12:03:27+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Schäftlarn, München (Kreis)",https://www.adzuna.de/details/4556108856?utm_medium=api&utm_source=16b1dafa,2024-02-03 11:59:34+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Garching bei München, München (Kreis)",https://www.adzuna.de/details/4554361819?utm_medium=api&utm_source=16b1dafa,2024-02-02 12:03:25+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Oberhaching, München (Kreis)",https://www.adzuna.de/details/4557100479?utm_medium=api&utm_source=16b1dafa,2024-02-04 12:08:45+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Baierbrunn, München (Kreis)",https://www.adzuna.de/details/4557100425?utm_medium=api&utm_source=16b1dafa,2024-02-04 12:08:43+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
Publicis Sapient,Senior Associate Data Science - German speaking,"Sauerlach, München (Kreis)",https://www.adzuna.de/details/4554361774?utm_medium=api&utm_source=16b1dafa,2024-02-02 12:03:25+00:00,"In this role, you will help to drive the Data Science practice and play a critical role in helping advance the application of advanced data analytics and machine learning as a core building block for our market offerings. Assist in the project delivery for machine learning work, focusing on how the customer experience and understanding can be improved to help our clients' business growth ultimately. Further, you will partner with individuals in various divisions, industries and geographies to e…",Unknown,Adzuna
DEVnet GmbH,Senior Data Analyst (BI & Data Science),"München, München (Kreis)",https://www.adzuna.de/details/4549094349?utm_medium=api&utm_source=16b1dafa,2024-01-29 19:19:32+00:00,"What the job offers you Projects in complex data landscapes and structures Changing challenges along digital business processes Developing solutions and advising our customers at eye level Further development of our Data & Analytics topic area Expansion of our customer relationships and support of customer acquisition processes 2 A few key data you should agree with Enjoy organizing, preparing, and analyzing data Confident in creating automated reports and metrics systems Experience developing …",Stellen aus Buchhaltung & Finanzwesen,Adzuna
BRL Risk Consulting GmbH & Co. KG,Praktikant Data Science / Data Engineering im Bereich Risk Advisory Services,"Altstadt-Lehel, München",https://www.adzuna.de/details/4569860699?utm_medium=api&utm_source=16b1dafa,2024-02-15 11:20:52+00:00,"Über BRL Risk Consulting GmbH & Co. KG:  Wir sind eine international ausgerichtete Partnerschaft von Rechtsanwälten, Wirtschaftsprüfern und Steuerberatern, die im Jahr 2006 gegründet wurde. Heute sind wir mit rund 380 Mitarbeitern an den Standorten Hamburg, Berlin, Bochum, Hannover, Dortmund, München und Bielefeld vertreten. Durch eine eigene Gesellschaft sowie über Moore Global, ein globales Netzwerk unabhängiger WP/StB-Gesellschaften, sind wir bestens aufgestellt, um auch für länderübergr…",Unknown,Adzuna
ARRK Engineering GmbH,Gruppenleiter / Business Manager Machine Learning (m/w/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4537836997?se=rMfpU6DM7hGaHTZo05CN9g&utm_medium=api&utm_source=16b1dafa&v=63D0937400DCF7A81CBFF1777574DE7D05740D31,2024-01-23 01:19:40+00:00,ARRK Engineering ist Teil des internationalen ARRK Firmenverbundes und spezialisiert auf die Produktentwicklung. Innerhalb der ARRK-Firmengruppe setzen wir Produktentwicklungen von der virtuellen Entwicklung bis hin zum Prototypen und der Produktion in Kleinserien um. Aufgaben Sie verantworten den strategischen Ausbau des Bereiches Machine Learning für Fahrerassistenzsysteme Die unternehmerische Verantwortung für eine eigene Business Unit mit Umsatz- und Gewinnverantwortung obliegt Ihnen Neuauf…,Beraterstellen,Adzuna
ADAC,Data Engineer mit Schwerpunkt Customer Centricity (w/m/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4556800471?se=rMfpU6DM7hGaHTZo05CN9g&utm_medium=api&utm_source=16b1dafa&v=0AAFB50CAE4927F38E6FFFA18B38F8A9B7F92DC7,2024-02-04 01:18:19+00:00,"Du suchst nach einer interessanten Möglichkeit, deine Daten- und Datenschutz-Expertise im Themenfeld Customer Centricity einzubringen? Zur weiteren Realisierung unserer Data-driven Marketing Strategie im ADAC suchen wir einen erfahrenen Experten (w/m/d), der Datenschutz­kompetenz mit der Fähigkeit vereint, unternehmensweit potenziell relevante kundenbezogene Daten zu identifizieren, auf deren Business Mehrwert zu analysieren und praktisch für Analysen und Aussteuerungszwecke in Marketing, Vertr…",Unknown,Adzuna
metafinanz Informationssysteme GmbH,Berater:in Data Science mit Fokus Advanced Analytics & AI,"Altstadt-Lehel, München",https://www.adzuna.de/details/4553363530?utm_medium=api&utm_source=16b1dafa,2024-02-01 19:18:31+00:00,"Lust auf Zukunft? Als Business- und IT Beratung steht metafinanz für Technologie und Fortschritt. Mit der Power von rund 800 Mitarbeitenden machen wir unsere Kunden in ambitionierten Projekten fit für morgen und übermorgen. Wie wir das tun? Gemeinsam. Und doch individuell. Wir setzen auf die Kultur des Miteinanders, denn Netzwerke sind für uns die Beschleuniger der Wertschöpfung. TheFutureIsNow Das ist dein Daily Business: Dein Talent liegt darin, zusammenzufügen, was eigentlich nicht zusammeng…",Unknown,Adzuna
MEAG MUNICH ERGO AssetManagement GmbH,Werkstudent (m|w|d) - Capital Markets Risk Management,"München, München (Kreis)",https://www.adzuna.de/land/ad/4570771490?se=8pHBV6DM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=A90B1F66C864261D8E37E0E11B00B8114B1BE496,2024-02-16 01:25:31+00:00,"Die MEAG ist Teil der Munich Re Group und gehört gleichzeitig zu den bedeutendsten Asset Management Gesellschaften der Welt. Um unser Team ""Capital Markets Risk Management"" zu verstärken, suchen wir ab dem 01. Mai 2024 einen Werkstudenten (m|w|d) für unseren Standort in München. Aufgaben Unterstützung in der Entwicklung und Verbesserung von R und Python Codes / sowie Power Bi Dashboards zur Überwachung von Risikopositionen / -engagements in Portfolios Analyse verschiedener Risikomodelle zur Ber…",Sonstige/Allgemeine Stellen,Adzuna
ARAG Krankenversicherungs-AG,Werkstudent Data Analyst & Data Warehouse KV (m/w/d),"München, München (Kreis)",https://www.adzuna.de/land/ad/4547636664?se=8pHBV6DM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=2BEDA56C4F0B6C8BCE89CA3CC67AEE1056670872,2024-01-28 13:22:18+00:00,"Weshalb Sie bei uns genau richtig sind? Weil wir für Sie nicht nur viele spannende Aufgaben haben, sondern vor allem eine echte Mission: Wir helfen Menschen Mit Ihren besonderen Fähigkeiten leisten Sie Ihren Beitrag, dass wir für unsere Kunden da sein können. Wenn mal etwas passiert und wenn möglich, auch schon vorher. Entfalten Sie Ihre Stärken in einem international erfolgreichen Familienunternehmen, in dem Unabhängigkeit, Fairness und Chancengleichheit gemeinsam gelebt werden. Jeden Tag aufs…",Sonstige/Allgemeine Stellen,Adzuna
MAN Group,Thesisverfasser (m/w/d) Data Science und AI - Batteriealterungsfaktoren,"Altstadt-Lehel, München",https://www.adzuna.de/details/4570273201?utm_medium=api&utm_source=16b1dafa,2024-02-15 17:07:29+00:00,"Zu besetzen ab: sofort Dein Arbeitsumfeld Wir bei MAN Truck & Bus sind Teil eines starken internationalen Teams und einer der führenden europäischen Nutzfahrzeughersteller und Anbieter von Transportlösungen. Zusammen mit den Marken Scania, Volkswagen Caminhões e Ônibus und Navistar gehören wir zur TRATON GROUP. Als Teil dieses Verbundes stehen wir vor großen Herausforderungen: Unsere Fahrzeuge werden immer autonomer und vernetzter, um emissionsärmer unterwegs zu sein. Dafür arbeiten wir an nach…",Unknown,Adzuna
BRL Risk Consulting GmbH & Co. KG,Manager für Data Science & Artificial Intelligence (m/w/d),"Altstadt-Lehel, München",https://www.adzuna.de/details/4554733788?utm_medium=api&utm_source=16b1dafa,2024-02-02 17:43:21+00:00,"Über BRL Risk Consulting GmbH & Co. KG:  Wir sind eine international ausgerichtete Partnerschaft von Rechtsanwälten, Wirtschaftsprüfern und Steuerberatern, die im Jahr 2006 gegründet wurde. Heute sind wir mit rund 380 Mitarbeitern an den Standorten Hamburg, Berlin, Bochum, Hannover, Dortmund, München und Bielefeld vertreten. Durch eine eigene Gesellschaft sowie über Moore Global, ein globales Netzwerk unabhängiger WP/StB-Gesellschaften, sind wir bestens aufgestellt, um auch für länderübergr…",Stellen aus Wissenschaft & Qualitätssicherung,Adzuna
msg insur:it,Masterstudium Aktuarwissenschaften in Kooperation mit der Universität Ulm,"Ismaning, München (Kreis)",https://www.adzuna.de/land/ad/4554453561?se=8pHBV6DM7hGvu--fYbbSxQ&utm_medium=api&utm_source=16b1dafa&v=F1C484293828FCDCB2C1695708985F019786BFA8,2024-02-02 13:23:35+00:00,"Du möchtest schon während Deines Studiums Praxiserfahrung beim führenden Anbieter von Software, Beratung und Cloud-Lösungen sammeln? Dann bist Du bei msg life genau richtig Werde Teil unseres erfolgreichen Teams und gestalte Deine individuelle Zukunft Wir bieten zum Studienstart im Sommer- sowie im Wintersemster einen Studienplatz an für ein Masterstudium Aktuarwissenschaften in Kooperation mit der Universität Ulm beim führenden Anbieter von Software, Beratung und Cloudlösungen für Versicherung…",Unknown,Adzuna
Horváth & Partners,Team Lead Data Science (w/m/d) Predictive Analytics,"Altstadt-Lehel, München",https://www.adzuna.de/details/4549090341?utm_medium=api&utm_source=16b1dafa,2024-01-29 19:19:14+00:00,Als Team Lead im Steering Lab genießt du maximalen Gestaltungsspielraum bei der Entwicklung deines Teams aus Data Scientists. Als fachliche und disziplinarische Führung dieses Teams leitest du Data Science Projekte mit interdisziplinären Teams aus unterschiedlichen Fach- und Funktionsbereichen. Dabei identifizierst du fortlaufend neue Projektchancen und entwickelst die entsprechenden Lösungen mit unseren Beraterkolleg:innen aus den jeweiligen Industrien oder Funktionen. Du fungierst als Schnitt…,Unknown,Adzuna
MTU Aero Engines AG,Praktikant Data Science im Bereich Engine Health Monitoring (all genders),"München, München (Kreis)",https://www.adzuna.de/details/4534461159?utm_medium=api&utm_source=16b1dafa,2024-01-20 12:37:36+00:00,"UPLIFTYOURFUTURE Wir sind über 11.000. An 18 Standorten weltweit. Jedes dritte Flugzeug fliegt mit unserer Technologie. Immer effizienter, leiser, nachhaltiger. Wir gestalten die Zukunft der Luftfahrt. Was wir noch brauchen? Sie. Unser Team in München sucht Sie: Praktikant Data Science im Bereich Engine Health Monitoring (all genders) Die MTU hat ein System zur Zustandsüberwachung von Triebwerken (Engine Health Monitoring) entwickelt: Das auf einem vollthermodynamischen, nichtlinearen Performan…",Unknown,Adzuna
MTU Aero Engines AG,Praktikant Data Science im Bereich Engine Health Monitoring (all genders),"München, München (Kreis)",https://www.adzuna.de/details/4556607672?utm_medium=api&utm_source=16b1dafa,2024-02-03 19:10:08+00:00,"UPLIFTYOURFUTURE Wir sind über 11.000. An 18 Standorten weltweit. Jedes dritte Flugzeug fliegt mit unserer Technologie. Immer effizienter, leiser, nachhaltiger. Wir gestalten die Zukunft der Luftfahrt. Was wir noch brauchen? Sie. Unser Team in München sucht Sie: Praktikant Data Science im Bereich Engine Health Monitoring (all genders) Die MTU hat ein System zur Zustandsüberwachung von Triebwerken (Engine Health Monitoring) entwickelt: Das auf einem vollthermodynamischen, nichtlinearen Performan…",Unknown,Adzuna
MTU Aero Engines AG,Praktikant Data Science im Bereich Engine Health Monitoring (all genders),"München, München (Kreis)",https://www.adzuna.de/details/4557874548?utm_medium=api&utm_source=16b1dafa,2024-02-05 11:13:56+00:00,"UPLIFTYOURFUTURE Wir sind über 11.000. An 18 Standorten weltweit. Jedes dritte Flugzeug fliegt mit unserer Technologie. Immer effizienter, leiser, nachhaltiger. Wir gestalten die Zukunft der Luftfahrt. Was wir noch brauchen? Sie. Unser Team in München sucht Sie:  Praktikant Data Science im Bereich Engine Health Monitoring (all genders) Die MTU hat ein System zur Zustandsüberwachung von Triebwerken (Engine Health Monitoring) entwickelt: Das auf einem vollthermodynamischen, nichtlinearen Perform…",Unknown,Adzuna
BearingPoint,(Junior) Consultant Data Science & Artificial Intelligence (m/w/d),"Altstadt-Lehel, München",https://www.adzuna.de/details/4532442054?utm_medium=api&utm_source=16b1dafa,2024-01-19 10:24:52+00:00,"Together, we are more than business. BearingPoint ist eine unabhängige Management- und Technologieberatung mit europäischen Wurzeln und globaler Reichweite. Wir bieten Beratung, die Strategie mit Technologie vereint und verbinden Unternehmertum mit Innovationsgeist. Deine zukünftigen Aufgaben Befeuert durch den technologischen Fortschritt wagen immer mehr weltweit führende Industrieunternehmen die digitale Transformation. Autonom fahrende Roboter übernehmen den Warenfluss in Werken, die Zukunft…",Unknown,Adzuna
