title,company,location,day_before_posts_de,day_before_posts_en,job_posted,link
Wissenschaftliche*r Mitarbeiter*in im Bereich Medical Imaging und Data Science,Fraunhofer-Institut für Graphische Datenverarbeitung IGD,Darmstadt,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Wissenschaftlicher-Mitarbeiterin-im-Bereich-Medical-Imaging-und-Data-Science-Darmstadt-Fraunhofer-Institut-fuer-Graphische-Datenverarbeitung-IGD--10713259-inline.html
Product Owner Data Science Solution (m/f/d),Schaeffler Automotive Aftermarket GmbH & Co. KG,Frankfurt,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Product-Owner-Data-Science-Solution-m-f-d-Frankfurt-Schaeffler-Automotive-Aftermarket-GmbH-Co-KG--10615499-inline.html
"Duales Studium Informatik/Computational Data Science, Bachelor of Science, Mercedes-Benz AG, Werk Rastatt, Studienbeginn 1. Oktober 2024 (m/w/d)",Mercedes - Benz AG,Rastatt,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Informatik-Computational-Data-Science-Bachelor-of-Science-Mercedes-Benz-AG-Werk-Rastatt-Studienbeginn-1-Oktober-2024-m-w-d-Rastatt-Mercedes-Benz-AG--9633786-inline.html
Duales Studium Data Science & Künstliche Intelligenz (B.Sc.) 2024,Deloitte,"München, Stuttgart",vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-Kuenstliche-Intelligenz-B-Sc-2024-Muenchen-Stuttgart-Deloitte--10713386-inline.html
"Duales Studium Wirtschaftsinformatik, Bachelor of Science (m⁠/⁠w⁠/⁠d), Schwerpunkt Data Science und Künstliche Intelligenz- Start 2024",Bertrandt AG,Mönsheim,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-Bachelor-of-Science-m-w-d-Schwerpunkt-Data-Science-und-Kuenstliche-Intelligenz-Start-2024-Moensheim-Bertrandt-AG--10737017-inline.html
Duales Studium: Informatik – Computational Data Science,Lapp Group,Stuttgart,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Duales-Studium-Informatik-Computational-Data-Science-Stuttgart-Lapp-Group--10710788-inline.html
Duales Studium Data Science,Vossloh Rail Services GmbH,Hamburg,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Duales-Studium-Data-Science-Hamburg-Vossloh-Rail-Services-GmbH--10498341-inline.html
Mathematiker/Aktuar (d/m/w) Data Science/Pricing/Risikomanagement/Solvency II,Meyerthole Siems Kohlruss Ges. für aktuarielle Beratung mbH,Köln,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Mathematiker-Aktuar-d-m-w-Data-Science-Pricing-Risikomanagement-Solvency-II-Koeln-Meyerthole-Siems-Kohlruss-Ges-fuer-aktuarielle-Beratung-mbH--10123971-inline.html
Studentische Aushilfe (m/w/d) Data Science im Bereich Schaden,Generali Deutschland AG,Köln,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Studentische-Aushilfe-m-w-d-Data-Science-im-Bereich-Schaden-Koeln-Generali-Deutschland-AG--10708167-inline.html
"Duales Studium Wirtschaftsinformatik/Data Science, Bachelor of Science, Mercedes-Benz AG, GLC Germersheim, Studienbeginn 1. Oktober 2024 (m/w/d)",Mercedes - Benz AG,Germersheim,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-Data-Science-Bachelor-of-Science-Mercedes-Benz-AG-GLC-Germersheim-Studienbeginn-1-Oktober-2024-m-w-d-Germersheim-Mercedes-Benz-AG--9633807-inline.html
Data Science / Digital Research Officer (m/f/d),GIGA German Institute for Global and Area Studies,Hamburg,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Data-Science-Digital-Research-Officer-m-f-d-Hamburg-GIGA-German-Institute-for-Global-and-Area-Studies--10709517-inline.html
Werkstudent Supply Chain Management - Data Science (m/w/d),REMONDIS Sustainable Services GmbH,Lünen,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Werkstudent-Supply-Chain-Management-Data-Science-m-w-d-Luenen-REMONDIS-Sustainable-Services-GmbH--10708206-inline.html
Werkstudent *in (d/m/w) im Bereich Operational Reporting / Data Science,ams-OSRAM International GmbH,Regensburg,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Werkstudent-in-d-m-w-im-Bereich-Operational-Reporting-Data-Science-Regensburg-ams-OSRAM-International-GmbH--10703362-inline.html
Studentische Hilfskraft – Schulungsorganisation in der Data Science Academy,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS,Sankt Augustin,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Studentische-Hilfskraft-Schulungsorganisation-in-der-Data-Science-Academy-Sankt-Augustin-Fraunhofer-Institut-fuer-Intelligente-Analyse-und-Informationssysteme-IAIS--10602338-inline.html
Graduate Program Data Science & Business Analytics (m/w/d),ODDO BHF SE,Frankfurt am Main,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Graduate-Program-Data-Science-Business-Analytics-m-w-d-Frankfurt-am-Main-ODDO-BHF-SE--9381139-inline.html
Data Science Strategist (m/w/d),Schaeffler Technologies AG & Co. KG,Herzogenaurach,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Data-Science-Strategist-m-w-d-Herzogenaurach-Schaeffler-Technologies-AG-Co-KG--10703833-inline.html
Studentische Hilfskraft für die IT-Systemadministration der Data Science Academy,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS,Sankt Augustin,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Studentische-Hilfskraft-fuer-die-IT-Systemadministration-der-Data-Science-Academy-Sankt-Augustin-Fraunhofer-Institut-fuer-Intelligente-Analyse-und-Informationssysteme-IAIS--10602332-inline.html
"Informatiker, Ingenieur, Physiker, Mathematiker - Data Science (m/w/d)",TWT GmbH Science & Innovation,"Stuttgart, München, Ingolstadt",vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Informatiker-Ingenieur-Physiker-Mathematiker-Data-Science-m-w-d-Stuttgart-Muenchen-Ingolstadt-TWT-GmbH-Science-Innovation--9415855-inline.html
Duales Studium Softwaretechnologie B. Sc. - Fachrichtungen Data Science IT-Security (m/w/d) zum 15. August 2024,Stadtverwaltung Bad Homburg v. d. Höhe,Bad Homburg vor der Höhe,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Duales-Studium-Softwaretechnologie-B-Sc-Fachrichtungen-Data-Science-IT-Security-m-w-d-zum-15-August-2024-Bad-Homburg-vor-der-Hoehe-Stadtverwaltung-Bad-Homburg-v-d-Hoehe--10601575-inline.html
Duales Studium KI und Data Science für den Bereich Marketing & Kommunikation (w|m|d),ADAC,Lörrach,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Duales-Studium-KI-und-Data-Science-fuer-den-Bereich-Marketing-Kommunikation-wmd-Loerrach-ADAC--10187080-inline.html
Junior Consultant Data Science (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Junior-Consultant-Data-Science-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--7966064-inline.html
Praktikum Data Science,Lidl Stiftung & Co. KG,Neckarsulm,vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Praktikum-Data-Science-Neckarsulm-Lidl-Stiftung-Co-KG--10669987-inline.html
Assistenz Projektmanagement Office (mwd) - Software Engineering & Data Science,HMS Analytical Software GmbH,"Heidelberg, Berlin",vor 2 Wochen,2 weeks ago,2024-02-07,https://www.stepstone.de/stellenangebote--Assistenz-Projektmanagement-Office-mwd-Software-Engineering-Data-Science-Heidelberg-Berlin-HMS-Analytical-Software-GmbH--10477863-inline.html
Werkstudierende (m/w/d) Data Science,Finanz Informatik GmbH & Co. KG,"Münster, Hannover oder Frankfurt am Main",vor 4 Wochen,4 weeks ago,2024-01-24,https://www.stepstone.de/stellenangebote--Werkstudierende-m-w-d-Data-Science-Muenster-Hannover-oder-Frankfurt-am-Main-Finanz-Informatik-GmbH-Co-KG--10611718-inline.html
Duales Studium - Informatik (Computational Data Science oder IT Security),RIB Gruppe,Stuttgart,vor 4 Wochen,4 weeks ago,2024-01-24,https://www.stepstone.de/stellenangebote--Duales-Studium-Informatik-Computational-Data-Science-oder-IT-Security-Stuttgart-RIB-Gruppe--10601739-inline.html
Senior Data Scientist (f/m/x),Tourlane GmbH,"Berlin, Germany",vor 2 Tagen,2 days ago,2024-02-19,https://www.stepstone.de/stellenangebote--Senior-Data-Scientist-f-m-x-Berlin-Germany-Tourlane-GmbH--10371862-inline.html
Senior Data Analyst (f/m/x),Tourlane GmbH,"Berlin, Germany",vor 2 Tagen,2 days ago,2024-02-19,https://www.stepstone.de/stellenangebote--Senior-Data-Analyst-f-m-x-Berlin-Germany-Tourlane-GmbH--10371865-inline.html
Data Scientist (m/w/d),DHL Sorting Center GmbH,Bonn,vor 4 Tagen,4 days ago,2024-02-17,https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Bonn-DHL-Sorting-Center-GmbH--10666723-inline.html
Senior Specialist/Data Scientist OSS Analytics in Voll- und Teilzeit (w/m/d),TARGOBANK,Duisburg,vor 7 Stunden,7 hours ago,2024-02-21,https://www.stepstone.de/stellenangebote--Senior-Specialist-Data-Scientist-OSS-Analytics-in-Voll-und-Teilzeit-w-m-d-Duisburg-TARGOBANK--10702984-inline.html
Leiter Datenanalysen und Künstliche Intelligenz (m/w/d),Amprion GmbH,Dortmund,vor 1 Woche,1 week ago,2024-02-14,https://www.stepstone.de/stellenangebote--Leiter-Datenanalysen-und-Kuenstliche-Intelligenz-m-w-d-Dortmund-Amprion-GmbH--10654868-inline.html
(Junior) Data Scientist / Machine Learning Engineer (m/w/d) Mobilfunk,CHECK24,Köln,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Junior-Data-Scientist-Machine-Learning-Engineer-m-w-d-Mobilfunk-Koeln-CHECK24--10690869-inline.html
(Senior) Business Intelligence Analyst (m/w/d),auxmoney GmbH,Düsseldorf,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Senior-Business-Intelligence-Analyst-m-w-d-Duesseldorf-auxmoney-GmbH--10760916-inline.html
Data Scientist (w|m|d),SWK AG,Krefeld,vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Data-Scientist-wmd-Krefeld-SWK-AG--10761113-inline.html
Data Scientist & Machine Learning Engineer (w|m|d),BridgingIT GmbH,"Mannheim, Frankfurt a.M., München",vor 1 Tag,1 day ago,2024-02-20,https://www.stepstone.de/stellenangebote--Data-Scientist-Machine-Learning-Engineer-wmd-Mannheim-Frankfurt-a-M-Muenchen-BridgingIT-GmbH--10690156-inline.html
